mc 0f 00000c7e 00000eb0 00000c75 00000d8e 0613 87 0001b459 t0:0
mc 0f 00000c41 00000eab 00000c6b 00000d63 0617 88 0001b571 t0:0
mc 0f 00000c9f 00000eb5 00000c88 00000da5 061b 89 0001b689 t0:0
mc 0f 00000c88 00000eb9 00000c83 00000d80 061f 8a 0001b7a1 t0:0
mc 0f 00000c7e 00000eb9 00000c96 00000d63 0623 8b 0001b8b9 t0:0
mc 0f 00000c8c 00000e9d 00000c70 00000d80 0627 8c 0001b9d1 t0:0
mc 0f 00000c9f 00000eb5 00000c7e 00000d76 062b 8d 0001bae9 t0:0
mc 0f 00000c7e 00000eb0 00000c8c 00000d7b 062f 8e 0001bc01 t0:0
mc 0f 00000ca4 00000eab 00000cb7 00000d84 0633 8f 0001bd19 t0:0
mc 0f 00000c67 00000eab 00000c96 00000d97 0637 90 0001be31 t0:0
mc 0f 00000c5d 00000eb9 00000c70 00000d92 063b 91 0001bf49 t0:0
mc 0f 00000c75 00000ebe 00000c88 00000d84 063f 92 0001c061 t0:0
mc 0f 00000c4f 00000ebe 00000c70 00000d72 0643 93 0001c179 t0:0
mc 0f 00000c59 00000eb9 00000c83 00000d63 0647 94 0001c291 t0:0
mc 0f 00000c8c 00000ed1 00000c96 00000d80 064b 95 0001c3a9 t0:0
mc 0f 00000ca8 00000ec3 00000c7a 00000d92 064f 96 0001c4c1 t0:0
mc 0f 00000cb7 00000e9d 00000c88 00000d6d 0653 97 0001c5d9 t0:0
mc 0f 00000cad 00000ec7 00000c62 00000d84 0657 98 0001c6f1 t0:0
mc 0f 00000c9f 00000ebe 00000c67 00000d8e 065b 99 0001c809 t0:0
mc 0f 00000c7a 00000eb5 00000c70 00000d68 065f 9a 0001c921 t0:0
mc 0f 00000c70 00000ec3 00000c7e 00000d84 0663 9b 0001ca39 t0:0
mc 0f 00000c88 00000e9d 00000c7a 00000d92 0667 9c 0001cb51 t0:0
mc 0f 00000c91 00000edf 00000c70 00000d76 066b 9d 0001cc69 t0:0
mc 0f 00000c8c 00000eb5 00000c8c 00000d72 066f 9e 0001cd81 t0:0
mc 0f 00000c62 00000eb5 00000c7e 00000d80 0673 9f 0001ce99 t0:0
mc 0f 00000c9f 00000ec3 00000c54 00000d7b 0677 a0 0001cfb1 t0:0
mc 0f 00000c70 00000ed5 00000c83 00000d84 067b a1 0001d0c9 t0:0
mc 0f 00000c5d 00000ed5 00000c54 00000d76 067f a2 0001d1e1 t0:0
mc 0f 00000c96 00000ebe 00000c8c 00000d9c 0683 a3 0001d2f9 t0:0
mc 0f 00000c88 00000e8f 00000c6b 00000d89 0687 a4 0001d411 t0:0
mc 0f 00000c5d 00000e9d 00000c54 00000d7b 068b a5 0001d529 t0:0
mc 0f 00000c5d 00000ebe 00000c46 00000d72 068f a6 0001d641 t0:0
mc 0f 00000cc5 00000e8f 00000c91 00000d7b 0693 a7 0001d759 t0:0
mc 0f 00000cb2 00000e94 00000c91 00000d72 0697 a8 0001d871 t0:0
mc 0f 00000c7a 00000ec7 00000c8c 00000d76 069b a9 0001d989 t0:0
mc 0f 00000c6b 00000eb0 00000c7a 00000d68 069f aa 0001daa1 t0:0
mc 0f 00000c67 00000ea2 00000c7a 00000d80 06a3 ab 0001dbb9 t0:0
mc 0f 00000ca4 00000e86 00000c9f 00000d92 06a7 ac 0001dcd1 t0:0
mc 0f 00000c9f 00000eb0 00000c88 00000d76 06ab ad 0001dde9 t0:0
mc 0f 00000c62 00000e98 00000c70 00000d63 06af ae 0001df01 t0:0
mc 0f 00000c7a 00000ebe 00000c75 00000d7b 06b3 af 0001e019 t0:0
mc 0f 00000c91 00000ea2 00000c7e 00000d7b 06b7 b0 0001e131 t0:0
mc 0f 00000c70 00000ee3 00000c5d 00000d72 06bb b1 0001e249 t0:0
mc 0f 00000ca4 00000ea6 00000cad 00000d72 06bf b2 0001e361 t0:0
mc 0f 00000c9f 00000eab 00000ca8 00000d80 06c3 b3 0001e479 t0:0
mc 0f 00000c6b 00000eab 00000c7a 00000d7b 06c7 b4 0001e591 t0:0
mc 0f 00000c91 00000eb5 00000c6b 00000d80 06cb b5 0001e6a9 t0:0
mc 0f 00000c8c 00000eb5 00000c7e 00000d5f 06cf b6 0001e7c1 t0:0
mc 0f 00000c8c 00000e98 00000c83 00000d80 06d3 b7 0001e8d9 t0:0
mc 0f 00000c67 00000ec3 00000c7e 00000d80 06d7 b8 0001e9f1 t0:0
mc 0f 00000c59 00000e94 00000c6b 00000d97 06db b9 0001eb09 t0:0
mc 0f 00000c96 00000ea6 00000c7e 00000d84 06df ba 0001ec21 t0:0
mc 0f 00000c6b 00000ea6 00000c75 00000d92 06e3 bb 0001ed39 t0:0
mc 0f 00000c91 00000eb9 00000c83 00000d92 06e7 bc 0001ee51 t0:0
mc 0f 00000c8c 00000ebe 00000c7e 00000d7b 06eb bd 0001ef69 t0:0
mc 0f 00000c59 00000ea2 00000c83 00000d6d 06ef be 0001f081 t0:0
mc 0f 00000c91 00000e86 00000c67 00000d76 06f3 bf 0001f199 t0:0
mc 0f 00000c67 00000e9d 00000c88 00000d76 06f7 c0 0001f2b1 t0:0
mc 0f 00000c75 00000e98 00000c96 00000d8e 06fb c1 0001f3c9 t0:0
mc 0f 00000c88 00000ea2 00000c70 00000d7b 06ff c2 0001f4e1 t0:0
mc 0f 00000c83 00000ec7 00000c7a 00000d80 0703 c3 0001f5f9 t0:0
mc 0f 00000c9a 00000eb5 00000c5d 00000d84 0707 c4 0001f711 t0:0
mc 0f 00000c8c 00000e98 00000c6b 00000d92 070b c5 0001f829 t0:0
mc 0f 00000c88 00000eb9 00000c7e 00000d97 070f c6 0001f941 t0:0
mc 0f 00000c96 00000eb0 00000c9f 00000d89 0713 c7 0001fa59 t0:0
mc 0f 00000c9f 00000eab 00000c83 00000d89 0717 c8 0001fb71 t0:0
mc 0f 00000ca8 00000e8a 00000c75 00000d97 071b c9 0001fc89 t0:0
mc 0f 00000c5d 00000ea2 00000c9a 00000d84 071f ca 0001fda1 t0:0
mc 0f 00000c59 00000ea2 00000c62 00000d9c 0723 cb 0001feb9 t0:0
mc 0f 00000cad 00000ea6 00000c62 00000d9c 0727 cc 0001ffd1 t0:0
mc 0f 00000c8c 00000ea6 00000c67 00000d80 072b cd 000200e9 t0:0
mc 0f 00000c4f 00000eb9 00000c75 00000d80 072f ce 00020201 t0:0
